make,sale_year,avg_sellingprice
ACURA,2014.0,12998.898071625345
ACURA,2015.0,14121.076923076924
AIRSTREAM,2014.0,71000.0
ASTON MARTIN,2015.0,54812.0
AUDI,2014.0,16520.740103270226
AUDI,2015.0,20282.746412386707
BENTLEY,2014.0,66636.11111111111
BENTLEY,2015.0,75787.75510204081
BMW,2014.0,19346.940789473683
BMW,2015.0,21716.540208947226
BUICK,2014.0,7736.363636363636
BUICK,2015.0,11067.310216582804
CADILLAC,2014.0,11700.550998948474
CADILLAC,2015.0,15552.657532195268
CHEV TRUCK,2014.0,2000.0
CHEVROLET,2014.0,9541.730105465005
CHEVROLET,2015.0,12215.53501813028
CHRYSLER,2014.0,7352.818772136954
CHRYSLER,2015.0,11466.764266261322
DAEWOO,2014.0,300.0
DAEWOO,2015.0,450.0
DODGE,2014.0,8609.474908607512
DODGE,2015.0,11439.151839393071
DODGE TK,2014.0,550.0
DOT,2014.0,500.0
FERRARI,2014.0,144666.66666666666
FERRARI,2015.0,123937.5
FIAT,2014.0,9021.27659574468
FIAT,2015.0,10444.837408312958
FISKER,2015.0,46461.11111111111
FORD,2014.0,11274.898646034817
FORD,2015.0,14785.777565195209
FORD TK,2014.0,2800.0
FORD TRUCK,2014.0,350.0
FORD TRUCK,2015.0,550.0
GEO,2014.0,300.0
GEO,2015.0,541.6666666666666
GMC,2014.0,13213.20939334638
GMC,2015.0,17317.727745424294
GMC TRUCK,2014.0,4050.0
GMC TRUCK,2015.0,10365.0
HONDA,2014.0,9723.286407766991
HONDA,2015.0,11078.99429745482
HUMMER,2014.0,13743.57142857143
HUMMER,2015.0,15414.813605442178
HYUNDAI,2014.0,10348.97170263789
HYUNDAI,2015.0,11072.357945913096
HYUNDAI TK,2014.0,2100.0
INFINITI,2014.0,19372.95241749808
INFINITI,2015.0,20514.657406084843
ISUZU,2014.0,1335.7142857142858
ISUZU,2015.0,1768.6136363636363
JAGUAR,2014.0,16861.377245508982
JAGUAR,2015.0,20171.848363926576
JEEP,2014.0,11776.22730284957
JEEP,2015.0,15295.763632460283
KIA,2014.0,10304.960054163847
KIA,2015.0,11939.707136404697
LAMBORGHINI,2015.0,112625.0
LAND ROVER,2014.0,24909.140969162996
LAND ROVER,2015.0,32548.094074526573
LANDROVER,2014.0,10715.0
LANDROVER,2015.0,13807.142857142857
LEXUS,2014.0,17458.045977011494
LEXUS,2015.0,20501.290902387318
LINCOLN,2014.0,11365.578947368422
LINCOLN,2015.0,17329.29109395594
LOTUS,2015.0,40800.0
MASERATI,2014.0,34236.36363636364
MASERATI,2015.0,45889.6
MAZDA,2014.0,9500.462332301342
MAZDA,2015.0,10120.724764557634
MAZDA TK,2014.0,6500.0
MERCEDES,2014.0,7501.136363636364
MERCEDES,2015.0,7421.153846153846
MERCEDES-B,2014.0,18500.0
MERCEDES-B,2015.0,8800.0
MERCEDES-BENZ,2014.0,19660.91783119061
MERCEDES-BENZ,2015.0,21815.432777488277
MERCURY,2014.0,3628.228782287823
MERCURY,2015.0,3950.428082191781
MINI,2014.0,11336.026936026936
MINI,2015.0,12412.862999658353
MITSUBISHI,2014.0,7218.320964749536
MITSUBISHI,2015.0,8325.419042495965
NISSAN,2014.0,10395.717867006586
NISSAN,2015.0,11859.078503346178
OLDSMOBILE,2014.0,994.4444444444445
OLDSMOBILE,2015.0,926.7628205128206
PLYMOUTH,2014.0,670.0
PLYMOUTH,2015.0,11180.882352941177
PONTIAC,2014.0,3185.475482912333
PONTIAC,2015.0,3851.2726564528693
PORSCHE,2014.0,30507.98611111111
PORSCHE,2015.0,40911.487281399044
RAM,2014.0,22946.518987341773
RAM,2015.0,25474.591592296852
ROLLS-ROYCE,2014.0,149800.0
ROLLS-ROYCE,2015.0,153718.75
SAAB,2014.0,3316.6666666666665
SAAB,2015.0,3682.5242718446602
SATURN,2014.0,3118.483146067416
SATURN,2015.0,3435.006260434057
SCION,2014.0,9600.0
SCION,2015.0,9575.893459204315
SMART,2014.0,6316.666666666667
SMART,2015.0,6228.151260504202
SUBARU,2014.0,11168.651315789473
SUBARU,2015.0,15645.950290510007
SUZUKI,2014.0,3641.095890410959
SUZUKI,2015.0,3949.0557939914165
TESLA,2014.0,80000.0
TESLA,2015.0,66465.90909090909
TOYOTA,2014.0,10872.538724651844
TOYOTA,2015.0,12393.405179382822
VOLKSWAGEN,2014.0,6919.110544217687
VOLKSWAGEN,2015.0,9621.30228887135
VOLVO,2014.0,8502.784653465347
VOLVO,2015.0,11817.472517730497
VW,2014.0,1512.5
VW,2015.0,16105.0
